State,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,while,comp,else,return,class,$,S,CODE,VDECL,ASSIGN,RHS,EXPR,EXPR2,TERM,TERM2,FACTOR,FDECL,ARG,MOREARGS,STMT,BLOCK,COND,COND2,ELSE,RETURN,CDECL,ODECL
0,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,1,2,,,,,,,,3,,,,,,,,,4,
1,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,
2,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,7,2,,,,,,,,3,,,,,,,,,4,
3,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,8,2,,,,,,,,3,,,,,,,,,4,
4,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,9,2,,,,,,,,3,,,,,,,,,4,
5,,s10,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
6,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,
10,,,s13,s15,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,r5,r5,,,,,,,,,,,,r5,,r5,r5,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,
14,s19,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
15,,s28,,,s22,s23,s24,,,s27,,s29,,,,,,,,,,,,,,,20,21,,25,,26,,,,,,,,,,,
16,r6,r6,,,,,,,,,,,,r6,,r6,r6,,,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,
17,s5,,,,,,,,,,,,,r41,,,,,,,,,,,31,,,,,,,,32,,,,,,,,,,30
18,,,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,r14,,,,,s36,,,r14,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,
26,,,r17,,,,,r17,s38,,r17,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,
27,,s28,,,,,,,,s27,,s29,,,,,,,,,,,,,,,,39,,25,,26,,,,,,,,,,,
28,,,r19,,,,,r19,r19,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,r20,,,,,r20,r20,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,s5,,,,,,,,,,,,,r41,,,,,,,,,,,31,,,,,,,,32,,,,,,,,,,41
32,s5,,,,,,,,,,,,,r41,,,,,,,,,,,31,,,,,,,,32,,,,,,,,,,42
33,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,r25,,,,s45,,,,,,,,,,,,,,,,,,,,44,,,,,,,,
35,,,r12,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,s28,,,,,,,,s27,,s29,,,,,,,,,,,,,,,,,,46,,26,,,,,,,,,,,
37,,,r15,,,,,r15,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,s28,,,,,,,,s27,,s29,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,
39,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,r38,,,,,,,,,,,,,,,,,,,,r38,r38,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,s55,s56,,,,,,,,,,,,r31,,s53,s54,,,r31,,,,,51,52,,,,,,,,,,50,49,,,,,,
44,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,r14,,,,,s36,,,r14,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,
47,,,r17,,,,,r17,s38,,r17,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,
48,,,r18,,,,,r18,r18,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,60,,
50,s55,s56,,,,,,,,,,,,r31,,s53,s54,,,r31,,,,,51,52,,,,,,,,,,50,62,,,,,,
51,r26,r26,,,,,,,,,,,,r26,,r26,r26,,,r26,,,,,,,,,,,,,,,,,,,,,,,
52,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s66,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
56,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,r13,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,r16,,,,,r16,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,s28,,,s22,s23,s24,,,s27,,s29,,,,,,,,,,,,,,,69,21,,25,,26,,,,,,,,,,,
62,,,,,,,,,,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,
63,r27,r27,,,,,,,,,,,,r27,,r27,r27,,,r27,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,71,,,,
65,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,71,,,,
66,,,s13,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,r25,,,,s45,,,,,,,,,,,,,,,,,,,,74,,,,,,,,
68,r21,,,,,,,,,,,,,r21,,,,,,,r21,r21,,,,,,,,,,,,,,,,,,,,,
69,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
